sample_id,C,m,sigma_scale,life_cycles
333,8.626831328217217e-11,2.886639656004386,1.0510771932990743,211244.2073470103
334,9.63147080916121e-11,2.8408459173842835,1.028866637089234,225797.6280339852
335,8.432102256594118e-11,2.8984661280732764,0.957250760954581,275037.4983026035
336,8.955705333699282e-11,3.166743589203226,1.0075794922409762,114719.26832769488
337,9.899529092689195e-11,2.9734525547369057,0.976453929467757,183953.81664750757
338,1.0709099554662429e-10,2.994949860586332,1.0014519785752647,149550.39926535168
339,1.0184411013335462e-10,2.9743936891553355,0.987506387045722,172522.26219815618
340,7.400362071745824e-11,3.0379462143852196,0.8980694746713795,270898.0550321807
341,9.89219205986905e-11,2.8709928327099257,1.0560892075492294,189074.96796167854
342,9.669152230303275e-11,2.684523869232471,0.995944642172532,364028.3834446455
343,9.997334673957785e-11,2.8711413866993993,0.9757599800248882,234705.9110147226
344,1.1151561294385159e-10,2.9711735709996505,0.9719836383585116,166470.5745034341
345,7.619291254267448e-11,2.793019960488493,1.0179229788183384,331711.232777183
346,9.032540711816539e-11,2.872363404951067,0.9553121830852764,275240.01996331394
347,1.0167270069881621e-10,2.820823025699769,0.8872412220762979,341600.90615158976
348,8.081669376524216e-11,3.040202925184313,1.0203564901604139,167372.59315208247
349,1.1016911086131369e-10,2.9649457015406564,1.025955149897841,145765.10603491325
350,9.953622348192633e-11,2.955154062064396,0.9900184087661184,183714.17646625993
351,1.0412720626409668e-10,2.9521601313120973,0.9426048562404996,204499.02472531292
352,9.051894084939077e-11,2.8862750747447876,1.0044467770444643,229709.8614475188
353,1.0381213142367563e-10,2.9097556282527504,0.9267733815843205,238786.384632333
354,1.0625732693749477e-10,2.7714815419467684,0.948638470165617,305236.33150252065
355,9.823562899331683e-11,2.6713558021249435,0.962465103174792,405692.32846758346
356,9.825024856990748e-11,2.9050081130345027,1.0421969535445779,181467.6581379453
357,9.859529509710457e-11,2.9223990256272145,0.9818694524781542,206014.09900369027
358,8.771188545850194e-11,3.010926456842538,0.977606679411177,188715.12538350932
